REGI?O:;N
UF:;AM
ESTAC?O:;MANAUS
CODIGO (WMO):;A101
LATITUDE:;-3,10361111
LONGITUDE:;-60,01555555
ALTITUDE:;48,79
DATA DE FUNDAC?O:;09/05/00
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (W/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2020/01/01;0000 UTC;0;1003,4;1003,4;1002,3;0;25,4;23;25,6;25,4;23;22,8;86;85;86;52;3;1,4;
2020/01/01;0100 UTC;0;1004,2;1004,2;1003,4;0;25,2;23;25,5;25,1;23,1;22,9;88;86;88;45;3,2;,8;
2020/01/01;0200 UTC;0;1005,1;1005,1;1004,2;0;24,8;23,1;25,2;24,7;23,3;22,9;91;88;90;21;1,9;,6;
2020/01/01;0300 UTC;0;1004,8;1005,1;1004,7;0;25;23,2;25;24,7;23,4;23,1;91;90;90;56;2,8;1,2;
2020/01/01;0400 UTC;0;1004,6;1004,8;1004,6;0;24,7;23,1;25;24,6;23,2;23;91;90;91;40;3,2;,6;
2020/01/01;0500 UTC;0;1004;1004,6;1004;0;24,9;23;24,9;24,5;23,2;22,8;91;89;90;63;2,6;1,3;
2020/01/01;0600 UTC;0;1003,5;1004;1003,5;0;24,4;22,8;24,9;24,4;23;22,7;91;89;91;46;2,6;,7;
2020/01/01;0700 UTC;0;1002,8;1003,5;1002,8;0;24,3;22,7;24,6;24,2;22,9;22,6;91;90;91;45;2,4;,6;
2020/01/01;0800 UTC;0;1002,3;1002,8;1002,3;0;24,1;22,7;24,3;23,9;22,7;22,5;92;91;92;45;2,1;,5;
2020/01/01;0900 UTC;0;1002,5;1002,5;1002,2;0;23,8;22,4;24,4;23,8;22,8;22,4;92;91;92;53;2,5;,6;
2020/01/01;1000 UTC;0;1003,4;1003,4;1002,5;1,2;23,8;22,4;24,1;23,8;22,7;22,4;92;92;92;65;2,3;,5;
2020/01/01;1100 UTC;0;1004,1;1004,1;1003,4;206,3;25;22,8;25,1;23,7;23,1;22,4;93;87;88;54;3,3;1,6;
2020/01/01;1200 UTC;0;1004,7;1004,7;1004,1;884,2;27;22,5;27,1;25;23,1;22,2;88;75;76;53;4,3;1,6;
2020/01/01;1300 UTC;0;1005,2;1005,2;1004,7;1782,5;28,8;21,7;28,8;27;22,6;20,9;76;63;66;50;6,5;2;
2020/01/01;1400 UTC;0;1005,2;1005,3;1005,1;2152,9;29,3;20,9;29,8;28,8;22,3;20,6;66;60;61;47;7,1;2,9;
2020/01/01;1500 UTC;0;1005;1005,2;1005;2001,3;29,1;21,1;29,7;29;22,1;20,8;66;60;62;58;7,3;2,9;
2020/01/01;1600 UTC;0;1004,4;1005;1004,4;2768,4;31,4;21,5;31,5;29,2;22,5;20,9;65;55;56;37;6,7;1,8;
2020/01/01;1700 UTC;0;1003,4;1004,4;1003,4;1922;30,4;20,8;31,9;29,7;22,6;20,2;61;52;57;63;6;2,3;
2020/01/01;1800 UTC;0;1002,7;1003,4;1002,7;2218,9;30,8;20,7;31,9;30,4;22,3;20,1;60;52;55;54;6,1;1,5;
2020/01/01;1900 UTC;0;1002;1002,7;1002;1121,7;30,2;21,1;31;30,1;21,9;20,2;61;54;58;28;4,8;1,2;
2020/01/01;2000 UTC;0;1001,7;1002;1001,7;575,3;29,9;21;30,3;29,7;21,5;20,4;61;56;59;50;3,9;1,1;
2020/01/01;2100 UTC;0;1001,8;1001,8;1001,7;426,1;29,4;21,1;29,9;29,4;21,4;20,2;62;57;61;13;4,8;,8;
2020/01/01;2200 UTC;0;1002,4;1002,4;1001,8;203,7;28,7;21,3;29,5;28,5;21,8;21;66;61;64;49;4,3;1,3;
2020/01/01;2300 UTC;0;1003,3;1003,3;1002,4;3,4;27,9;21,9;28,7;27,9;22;21,3;70;64;70;52;3,4;1,4;
2020/01/02;0000 UTC;0;1004,2;1004,3;1003,3;0;27,6;21,6;28,1;27,6;22,2;21,6;72;69;70;53;4,4;1,2;
2020/01/02;0100 UTC;0;1004,8;1004,8;1004,2;0;27,2;21,3;27,7;27,2;21,9;21,2;73;69;70;45;5,1;1,6;
2020/01/02;0200 UTC;0;1005;1005,2;1004,8;0;26,9;20,9;27,3;26,9;21,3;20,9;70;69;70;50;4,7;1,6;
2020/01/02;0300 UTC;0;1004,7;1005;1004,7;0;26,6;20,9;26,9;26,6;21,1;20,8;72;69;71;46;3,7;1,5;
2020/01/02;0400 UTC;0;1004,1;1004,7;1004,1;0;26,2;20,8;26,7;26,2;20,9;20,7;72;70;72;63;4;1,6;
2020/01/02;0500 UTC;0;1003,5;1004,1;1003,5;0;25,7;20,8;26,3;25,7;20,9;20,6;74;71;74;70;3,3;1;
2020/01/02;0600 UTC;0;1003;1003,5;1003;0;25,5;20,8;25,9;25,5;21;20,7;76;74;76;65;3,3;1,3;
2020/01/02;0700 UTC;0;1002,8;1003;1002,8;0;25;21,2;25,5;25;21,3;20,9;80;76;79;74;2,5;1,1;
2020/01/02;0800 UTC;0;1002,8;1002,8;1002,6;0;24,7;21,2;25,1;24,7;21,3;21,2;81;79;81;72;3;1,1;
2020/01/02;0900 UTC;0;1003,3;1003,3;1002,8;0;24,1;21,3;24,7;24,1;21,4;21,1;84;81;84;76;1,9;,6;
2020/01/02;1000 UTC;0;1004,1;1004,1;1003,3;1;24,4;21,3;24,6;24;21,6;21,3;85;82;83;70;1,8;,9;
2020/01/02;1100 UTC;0;1005,2;1005,2;1004,1;252,9;26;21,5;26;24,3;21,7;21,3;84;76;77;73;2,6;1,6;
2020/01/02;1200 UTC;0;1005,8;1005,8;1005,2;1117,4;27,9;21,5;28,2;26;22,1;21,1;77;67;68;40;4;1,7;
2020/01/02;1300 UTC;0;1006,5;1006,5;1005,8;2036,8;29,5;20,1;29,8;27,9;21,9;19,6;68;56;57;57;4,4;2,1;
2020/01/02;1400 UTC;0;1006,6;1006,7;1006,5;2060,6;30,3;18,3;30,6;29,1;21,5;18,3;61;48;49;53;5,3;1,8;
2020/01/02;1500 UTC;0;1006;1006,6;1006;2579,3;30,8;18,3;31,2;30;20;17,3;54;46;47;46;5,3;2,3;
2020/01/02;1600 UTC;0;1005,2;1006;1005,2;3701,2;32,3;19,1;32,7;30,7;20,1;17,7;50;42;46;21;5,5;1,5;
2020/01/02;1700 UTC;0;1004,4;1005,2;1004,4;3158,1;31,9;18,4;32,7;31,6;19,9;17,8;49;42;45;70;5,3;2,2;
2020/01/02;1800 UTC;0;1003,2;1004,3;1003,2;1631,2;31,3;19,3;32,5;31,1;20,8;18,2;52;44;49;67;4,4;1,8;
2020/01/02;1900 UTC;0;1002,5;1003,2;1002,5;963,8;31,1;19,8;31,5;30,8;20,8;18,7;55;46;51;42;4,3;,7;
2020/01/02;2000 UTC;0;1001,9;1002,5;1001,9;908,8;31,9;19,7;32;30,8;21,1;19;56;48;49;60;3,6;1,2;
2020/01/02;2100 UTC;0;1002,2;1002,2;1001,8;670,1;30,5;20;32,8;30,5;21;19,1;55;47;54;320;4,7;1;
2020/01/02;2200 UTC;0;1002,8;1002,8;1002,2;135,8;30,2;20;30,8;30,1;20,6;19,5;56;52;54;45;2,9;1,3;
2020/01/02;2300 UTC;0;1003,6;1003,6;1002,8;5,2;29,4;20,1;30,2;29,1;20,6;19,8;60;54;58;56;2,9;,9;
2020/01/03;0000 UTC;0;1004,2;1004,2;1003,6;0;28,3;21,1;29,5;28;21,7;20,1;68;58;65;59;2,1;1;
2020/01/03;0100 UTC;0;1005,4;1005,4;1004,2;0;28,3;21,4;29,2;28,3;21,5;20,9;66;61;66;43;2,4;1,1;
2020/01/03;0200 UTC;0;1005,9;1005,9;1005,4;0;27,6;21,5;28,9;27,6;22;21,1;71;63;69;75;2;,7;
2020/01/03;0300 UTC;0;1006;1006,1;1005,9;0;27,1;22;28,1;26,9;22,2;21,7;76;69;74;10;2;,6;
2020/01/03;0400 UTC;0;1005,9;1006,1;1005,9;0;26,7;21,7;27,2;26,5;22,3;21,6;77;72;74;347;1,5;,4;
2020/01/03;0500 UTC;0;1005,2;1005,9;1005,2;0;26;21,1;26,7;25,9;22,1;21;77;74;75;33;1,5;,4;
2020/01/03;0600 UTC;0;1004,7;1005,2;1004,7;0;26;21;26,2;25,7;21,4;20,9;76;73;74;348;1,4;,5;
2020/01/03;0700 UTC;0;1004,7;1004,7;1004,6;0;26;20,7;26,2;25,8;21,1;20,5;75;71;73;169;2,1;,4;
2020/01/03;0800 UTC;0;1004,7;1004,7;1004,5;0;25,5;20,5;26;25,5;20,7;20,5;74;72;74;330;1,8;,4;
2020/01/03;0900 UTC;0;1005,1;1005,1;1004,7;0;25,8;20,5;25,8;25,4;21,1;20,5;77;73;73;36;2,1;,7;
2020/01/03;1000 UTC;0;1005,9;1005,9;1005,1;1,7;25,4;20,7;25,9;25,3;20,7;20,4;76;72;75;354;2,8;,8;
2020/01/03;1100 UTC;0;1006,7;1006,7;1005,9;235,2;26,7;20,8;26,7;25,4;21;20,5;75;70;70;6;3,3;,7;
2020/01/03;1200 UTC;0;1007,5;1007,5;1006,7;1149;28,8;20,1;29;26,6;21,4;20,1;71;60;60;331;4,8;1;
2020/01/03;1300 UTC;0;1007,9;1007,9;1007,5;1954,6;30,6;20,3;30,6;28,8;21,4;20;63;54;54;329;4,2;1,2;
2020/01/03;1400 UTC;0;1008;1008,1;1007,9;2709,4;32,2;19;32,4;30,6;21,2;19;58;46;46;302;6,1;1,4;
2020/01/03;1500 UTC;0;1007,4;1008;1007,4;3021,9;32,3;19,2;33;31,6;20,7;18,5;52;43;46;332;5,1;1,2;
2020/01/03;1600 UTC;0;1006,7;1007,4;1006,7;2686,1;32,8;20,3;33,1;32,1;21,1;18,3;51;42;48;340;4,9;1;
2020/01/03;1700 UTC;0;1005,8;1006,7;1005,8;1707,7;31,5;19,8;33,1;31,5;21,1;18,4;53;44;50;6;4,3;1;
2020/01/03;1800 UTC;0;1004,6;1005,8;1004,6;1702,4;32,3;19,9;32,9;31,4;21,2;18,2;55;42;48;329;3,2;,9;
2020/01/03;1900 UTC;0;1003,7;1004,6;1003,7;1774,7;32,4;19,2;34;31,6;22,1;18,2;54;41;46;58;3,2;,9;
2020/01/03;2000 UTC;0;1003,3;1003,7;1003,3;627,9;31,4;20,1;32,4;31,3;20,5;19,2;52;46;51;158;5,6;1,6;
2020/01/03;2100 UTC;0;1003,6;1003,6;1003,3;434;31,4;20,2;31,7;31,3;20,4;19,6;52;49;51;99;3,6;1,1;
2020/01/03;2200 UTC;0;1004,6;1004,6;1003,6;194,6;30,9;20,5;31,6;30,8;20,9;19,9;55;50;54;76;3,6;1,5;
2020/01/03;2300 UTC;0;1006;1006;1004,6;1,6;25,7;22,3;30,9;25,7;22,9;20,4;82;54;82;328;4,3;1,7;
2020/01/04;0000 UTC;0;1006,5;1006,5;1006;0;25,6;23,4;26,6;25,2;24;22,4;90;82;88;145;4,3;1;
2020/01/04;0100 UTC;0;1007,5;1007,5;1006,5;,2;26,1;24,2;26,6;25,6;24,2;23,4;89;84;89;87;2,4;,5;
2020/01/04;0200 UTC;0;1007,6;1007,6;1007,4;,8;27,5;22,4;27,9;26;24;22;89;71;74;77;2,1;1,2;
2020/01/04;0300 UTC;0;1007,8;1008;1007,5;4,5;27,6;23;28,3;26,7;23,1;21,6;79;67;76;121;4,5;2,1;
2020/01/04;0400 UTC;0;1007,4;1007,8;1007,4;2,1;26,5;23,2;27,6;26,5;23,5;23;83;76;82;83;5,4;2,6;
2020/01/04;0500 UTC;0;1006,7;1007,5;1006,6;,1;25,9;23,2;26,5;25,9;23,2;23,1;85;82;85;97;5,3;1,4;
2020/01/04;0600 UTC;0;1006;1006,7;1006;0;25,7;22,9;25,9;25,6;23,2;22,8;85;84;85;86;3,6;1,4;
2020/01/04;0700 UTC;0;1005,6;1006,1;1005,6;0;25,5;22,7;25,7;25,5;23;22,7;85;84;85;78;3,9;1,9;
2020/01/04;0800 UTC;0;1005,7;1005,7;1005,5;0;25,4;22,8;25,6;25,4;22,9;22,7;86;85;86;110;3,9;1,2;
2020/01/04;0900 UTC;0;1006,1;1006,1;1005,6;0;25,2;22,6;25,4;25,2;22,8;22,6;86;85;86;85;4;1,7;
2020/01/04;1000 UTC;0;1006,4;1006,4;1006,1;1,2;25,3;22,7;25,3;25,2;22,8;22,6;86;85;86;132;3,8;,9;
2020/01/04;1100 UTC;0;1007,3;1007,3;1006,3;149,3;26,1;23,2;26,1;25,3;23,2;22,8;87;84;84;74;3,2;1;
2020/01/04;1200 UTC;0;1008,1;1008,1;1007,3;540,5;26,6;23,1;26,8;26,1;23,4;22,8;84;80;81;110;2;,6;
2020/01/04;1300 UTC;0;1008,3;1008,4;1008,1;1535,7;28,1;22,9;28,6;26,6;23,6;22,4;81;71;74;59;3,6;1,7;
2020/01/04;1400 UTC;0;1008;1008,3;1008;2634;30,1;21,9;30,4;28,1;24;21,9;74;61;61;66;4,2;2;
2020/01/04;1500 UTC;0;1007,4;1008;1007,4;1970,7;30,1;21,9;31,4;29,8;23,6;21,6;67;58;62;329;4,9;1,5;
2020/01/04;1600 UTC;0;1006,3;1007,4;1006,3;2443,2;30,9;22,1;32,9;29,8;24;20,6;65;51;60;27;5,8;1,2;
2020/01/04;1700 UTC;0;1005,1;1006,3;1005,1;2906,8;31,9;20,1;33,6;30,9;23;20;60;47;50;337;5,9;1,5;
2020/01/04;1800 UTC;0;1003,8;1005,1;1003,8;940,8;31,1;21,4;32,2;31;21,8;19,4;58;47;57;183;4,4;2;
2020/01/04;1900 UTC;0;1002,8;1003,8;1002,8;1440,5;30,5;21,5;32,6;30,2;22,7;20,7;60;53;59;129;5,1;2,3;
2020/01/04;2000 UTC;0;1002,1;1002,8;1002,1;670,7;31,2;20,6;31,3;30,2;21,6;20,6;60;53;53;110;5,1;1,4;
2020/01/04;2100 UTC;0;1002,1;1002,5;1002;359,7;26,4;24,2;31,5;26,3;24,2;20,6;88;53;88;148;7,1;1,2;
2020/01/04;2200 UTC;0;1002,8;1002,8;1002,1;272;28,4;23,5;29,2;26,4;25,4;23,3;89;71;75;269;3,7;1,3;
2020/01/04;2300 UTC;0;1003,4;1003,4;1002,8;11,8;27,8;23,7;28,4;27,4;23,9;22,9;80;73;78;1;3,1;,6;
2020/01/05;0000 UTC;0;1004;1004;1003,4;5,9;27,7;20,8;29,2;27,6;23,5;20,4;78;60;66;93;3,8;,3;
2020/01/05;0100 UTC;;;;;;;;;;;;;;;;;;
2020/01/05;0200 UTC;0;1005,2;1005,2;1004,7;0;26,6;23,2;27,2;26,6;23,5;21,5;82;72;81;42;1;,3;
2020/01/05;0300 UTC;0;1005,3;1005,4;1005,2;0;26,5;22,9;26,8;26,3;23;22,1;81;76;81;66;1,4;,7;
2020/01/05;0400 UTC;0;1004,7;1005,4;1004,7;0;26,3;23,2;26,5;26,2;23,5;22,9;84;81;83;72;1;,6;
2020/01/05;0500 UTC;0;1004,3;1004,8;1004,3;0;26;23;26,4;25,9;23,5;22,9;85;82;83;;1;,1;
2020/01/05;0600 UTC;0;1003,6;1004,3;1003,6;0;25,6;22,9;26;25,6;23,4;22,9;87;83;85;329;,6;,3;
2020/01/05;0700 UTC;0;1003,2;1003,6;1003,2;0;25,4;23,1;25,7;25,4;23,3;22,9;88;85;87;344;,9;,4;
2020/01/05;0800 UTC;0;1003,2;1003,3;1003,1;0;25,3;22,5;25,6;25,2;23,2;22,5;87;84;84;61;1,6;,7;
2020/01/05;0900 UTC;0;1003,8;1003,8;1003,2;0;26;22;26;25,4;22,8;22;84;78;78;57;2,7;1,5;
2020/01/05;1000 UTC;0;1004,8;1004,8;1003,8;2,1;25,8;20,8;26,1;25,7;22;20,7;79;74;74;57;3,5;1,7;
2020/01/05;1100 UTC;0;1005,3;1005,3;1004,8;222,7;26,5;21,3;26,5;25,8;21,3;20,8;75;72;73;57;3,5;1,7;
2020/01/05;1200 UTC;0;1006,1;1006,1;1005,3;1018,1;28,9;21,3;29;26,5;22;20,9;74;62;63;58;4,6;1,7;
2020/01/05;1300 UTC;0;1006,3;1006,3;1006,1;1550,1;30;20,8;30,2;29;21,9;20,5;64;58;58;44;5,3;1,5;
2020/01/05;1400 UTC;0;1006,1;1006,4;1006,1;2427,3;31,4;19,5;31,8;29,8;21,4;19,1;60;48;49;43;5,7;2;
2020/01/05;1500 UTC;0;1005,3;1006,1;1005,3;3145,1;32,8;20;33;31,4;21,7;19;54;46;47;36;6;2;
2020/01/05;1600 UTC;0;1004,5;1005,3;1004,5;3308,7;33,7;19,1;33,7;32,4;20,8;18,6;49;41;42;340;6,5;1,4;
2020/01/05;1700 UTC;0;1003,7;1004,5;1003,7;3306;33,6;19,6;33,9;33,1;20,8;18,4;48;41;44;17;5,9;1,9;
2020/01/05;1800 UTC;0;1002,5;1003,7;1002,5;2571,6;34,4;19,6;34,4;32,9;20,7;17,8;47;39;42;327;5,1;1,5;
2020/01/05;1900 UTC;0;1001,4;1002,5;1001,4;2657,7;34,5;18,7;35,2;33,5;21;17,6;45;36;40;336;4,7;1,8;
2020/01/05;2000 UTC;0;1000,9;1001,4;1000,9;1439,1;33,7;19,2;34,7;32,6;20,6;17,5;48;38;43;12;5,5;1,2;
2020/01/05;2100 UTC;0;1001;1001;1000,7;1001,8;33,5;17,5;34,2;32,9;19,5;17,1;44;37;39;319;5,9;1,5;
2020/01/05;2200 UTC;0;1001,8;1001,8;1000,9;155,5;32;18,4;33,4;32;19,7;17,6;45;39;44;4;5,9;1;
2020/01/05;2300 UTC;0;1002,3;1002,3;1001,8;6,5;30,9;18,8;32;30,6;19,7;18,2;53;45;49;351;3,5;,9;
2020/01/06;0000 UTC;0;1003;1003;1002,3;0;29,5;19,5;31;29,4;20;18,8;56;48;55;345;3,5;,6;
2020/01/06;0100 UTC;0;1003,9;1003,9;1003;0;29,7;19,2;29,7;29,1;19,8;19;57;53;53;44;1,9;,8;
2020/01/06;0200 UTC;0;1004,2;1004,2;1003,9;0;28,7;19,2;29,7;28,5;19,9;18,9;59;53;56;69;2,4;1,2;
2020/01/06;0300 UTC;0;1004,4;1004,5;1004,2;0;28,2;19,6;28,9;28;20,1;19,1;62;56;60;65;2,5;1,3;
2020/01/06;0400 UTC;0;1003,9;1004,4;1003,9;0;27,6;19,9;28,5;27,5;20,1;19,5;63;58;63;71;2,4;1,3;
2020/01/06;0500 UTC;0;1003,3;1003,9;1003,3;0;27,8;19,9;27,9;27,4;20,2;19,6;65;61;62;62;2,2;1,4;
2020/01/06;0600 UTC;0;1002,7;1003,3;1002,7;0;27,4;19,8;27,8;27,3;20,1;19,6;65;61;63;55;2,6;1,3;
2020/01/06;0700 UTC;0;1002,3;1002,7;1002,3;0;26,7;19,8;27,4;26,7;20;19,7;66;63;66;49;3,4;1;
2020/01/06;0800 UTC;0;1002,4;1002,4;1002,2;0;26,7;20;26,8;26,3;20,1;19,8;68;66;67;61;2,8;1,6;
2020/01/06;0900 UTC;0;1002,9;1002,9;1002,4;0;26,7;19,9;26,8;26,5;20,1;19,8;68;66;66;57;3,3;1,6;
2020/01/06;1000 UTC;0;1003,5;1003,5;1002,8;1,6;26,2;20,1;26,7;26,1;20,1;19,8;69;66;69;60;3,7;1,6;
2020/01/06;1100 UTC;0;1004,2;1004,2;1003,5;246;27,4;20,7;27,4;26,1;20,8;20,1;70;66;67;55;4;1,9;
2020/01/06;1200 UTC;0;1004,9;1004,9;1004,2;1105,2;30;20,6;30;27,3;21,3;20,2;67;57;57;49;4,7;1,8;
2020/01/06;1300 UTC;0;1005,2;1005,2;1004,9;1983,5;30,9;19,9;31,1;30;21,1;19,2;59;50;52;49;6,5;2,9;
2020/01/06;1400 UTC;0;1005,2;1005,3;1005,1;2681,9;32;19,7;32,3;30,8;20,9;19,2;54;47;48;46;8,3;2;
2020/01/06;1500 UTC;0;1004,7;1005,3;1004,7;3198,8;33;20,5;33;31,7;20,9;18,6;51;45;48;52;7;2,4;
2020/01/06;1600 UTC;0;1003,8;1004,7;1003,8;3462,7;33,5;18,5;34;32,8;20,3;18,5;48;40;41;59;5,6;2,7;
2020/01/06;1700 UTC;0;1003,1;1003,8;1003,1;3161,9;34,7;18,9;34,7;33,2;21;17,3;47;37;40;45;5,3;2,2;
2020/01/06;1800 UTC;0;1002,2;1003,1;1002,2;1841,5;33,8;17,8;34,8;33,2;19,9;17,3;44;37;39;357;5,3;1,2;
2020/01/06;1900 UTC;0;1001,5;1002,2;1001,5;768;32,7;20,1;34,2;32,2;20,4;18,2;50;38;48;336;3,4;1,2;
2020/01/06;2000 UTC;0;1001,1;1001,6;1001,1;507;32,4;19,2;33;32,2;20,5;18,6;49;43;46;49;4,4;1,6;
2020/01/06;2100 UTC;0;1001,1;1001,2;1001;779,1;33,6;18,8;34;32,4;20,4;18,1;48;39;42;44;4,2;1,2;
2020/01/06;2200 UTC;0;1001,4;1001,5;1001,1;161,9;32,3;18,5;33,6;32,3;19;17,8;45;40;44;51;3,9;1,3;
2020/01/06;2300 UTC;0;1001,7;1001,7;1001,4;6;31,6;19,1;32,4;31,5;19,3;18,4;48;43;48;51;3,7;1,5;
2020/01/07;0000 UTC;0;1002,4;1002,4;1001,7;0;31;19,6;31,6;31;19,6;18,9;51;47;51;55;3,7;1,5;
2020/01/07;0100 UTC;0;1003,5;1003,5;1002,4;0;30,3;20,1;31;30,2;20,2;19,5;55;51;55;48;3,4;1,3;
2020/01/07;0200 UTC;0;1004,1;1004,1;1003,5;0;29,8;20,5;30,4;29,8;20,5;20;57;54;57;52;3,6;1,5;
2020/01/07;0300 UTC;0;1004,4;1004,4;1004,1;0;29,3;20,7;29,8;29,1;20,8;20,3;61;57;60;56;4,2;1,6;
2020/01/07;0400 UTC;0;1004,2;1004,4;1004,2;0;28,9;20,7;29,4;28,5;21;20,6;64;59;61;73;4,2;1,7;
2020/01/07;0500 UTC;0;1003,6;1004,2;1003,6;0;28;21,1;28,9;27,9;21,1;20,7;66;61;66;60;4,6;2,1;
2020/01/07;0600 UTC;0;1003,2;1003,6;1003,2;0;27,7;21,3;28;27,5;21,3;21;69;66;68;58;4,6;1,9;
2020/01/07;0700 UTC;0;1003;1003,2;1002,9;0;26,8;21,3;27,7;26,8;21,3;21,2;72;68;72;82;5;2,5;
2020/01/07;0800 UTC;0;1003,3;1003,3;1003;0;26,2;21,8;26,8;26,2;21,8;21,3;77;72;77;77;5,1;2,2;
2020/01/07;0900 UTC;0;1003,8;1003,8;1003,2;0;25,8;23;26,2;25,8;23;21,8;84;77;84;78;5,1;1,6;
2020/01/07;1000 UTC;0;1004,3;1004,3;1003,8;1;25,6;23,2;25,8;25,6;23,3;23;87;84;87;71;4,8;2,4;
2020/01/07;1100 UTC;0;1005;1005;1004,3;230,8;26,5;23,2;26,5;25,5;23,3;23,1;87;82;82;73;5,2;1,9;
2020/01/07;1200 UTC;0;1005,5;1005,5;1005;1050,3;28,1;22,8;28,2;26,5;23,3;22,6;82;72;73;65;6,7;2,8;
2020/01/07;1300 UTC;0;1006;1006;1005,5;1883,1;29,6;22,8;29,8;28,1;23,4;22,5;73;66;67;80;7,5;2,5;
2020/01/07;1400 UTC;0;1006;1006,2;1006;2342,5;30,6;22,1;31;29,6;23,5;21,8;67;59;61;68;7,3;2,6;
2020/01/07;1500 UTC;0;1005,2;1006,1;1005,2;2726,8;32,2;21,5;32,3;30,3;22,5;21,1;63;52;53;80;8,1;3,4;
2020/01/07;1600 UTC;0;1004,6;1005,2;1004,6;2625;32,3;21,7;32,8;31,5;21,9;20,7;55;50;54;70;9,3;3,7;
2020/01/07;1700 UTC;0;1003,8;1004,6;1003,8;2217,9;33,4;22,6;33,4;32;22,6;20,9;56;50;53;62;9,1;2,9;
2020/01/07;1800 UTC;0;1003;1003,9;1003;1824,4;32,6;21,7;33,5;31,3;23;21,2;61;50;53;90;6,6;2,3;
2020/01/07;1900 UTC;0;1001,9;1003;1001,9;2029,2;32,6;20,7;33,6;31,8;22,4;20,5;55;47;50;49;6,8;2,4;
2020/01/07;2000 UTC;0;1001,1;1001,9;1001;1407,9;32,8;21,5;33,2;31,9;21,8;20,4;54;48;51;80;6,8;2,2;
2020/01/07;2100 UTC;0;1001,4;1001,4;1001,1;861,2;32,4;21,2;33,4;32,3;21,8;20,7;53;48;52;45;5;1,4;
2020/01/07;2200 UTC;0;1002,7;1002,7;1001,4;54,6;26,4;24,2;32,4;25,7;24,3;21,2;88;52;88;283;9,8;1,3;
2020/01/07;2300 UTC;0;1003,1;1003,6;1002,5;,5;25,4;23,4;26,6;25,4;24,3;23;89;82;89;136;5,2;1;
2020/01/08;0000 UTC;0;1004,6;1004,6;1003,1;0;25,7;23,6;25,7;25,3;24;23,4;91;88;88;101;4,4;1,6;
2020/01/08;0100 UTC;0;1005;1005;1004,6;,1;25,4;23,6;25,9;25,2;23,8;23,2;91;85;90;158;3,3;,5;
2020/01/08;0200 UTC;0;1005,7;1005,7;1005;0;25,3;23,6;25,7;25,1;23,8;23,5;92;89;91;66;1,4;,6;
2020/01/08;0300 UTC;0;1005,8;1006;1005,7;0;25,5;23,6;25,9;25,2;23,8;23,1;90;85;89;66;1,8;,7;
2020/01/08;0400 UTC;0;1005,2;1005,9;1005,2;0;26,4;23,8;26,5;25,5;23,9;23,4;89;85;85;72;2,3;1,1;
2020/01/08;0500 UTC;0;1004,9;1005,3;1004,8;,6;26,3;23,7;26,6;26,3;23,9;23,7;86;84;86;61;3,5;1,4;
2020/01/08;0600 UTC;0;1004,2;1005;1004,1;,2;24,8;23,3;26,4;24,7;23,8;23,2;92;85;92;79;6;,9;
2020/01/08;0700 UTC;0;1003,8;1004,2;1003,7;0;24,5;23,1;24,8;24,5;23,4;23,1;92;91;92;40;2;,3;
2020/01/08;0800 UTC;0;1004,3;1004,3;1003,8;0;24,7;23,4;24,8;24,4;23,4;23,1;93;92;92;67;1,4;,7;
2020/01/08;0900 UTC;0;1004,7;1004,7;1004,3;0;25;23,4;25,3;24,7;23,7;23,4;92;90;91;79;2;,5;
2020/01/08;1000 UTC;0;1005,7;1005,7;1004,7;,8;25,2;23,4;25,5;25;23,7;23,4;91;88;90;63;2,3;,6;
2020/01/08;1100 UTC;0;1007,1;1007,1;1005,7;10,6;25,1;23,2;25,6;25,1;23,8;23,2;91;88;89;77;5,3;2,3;
2020/01/08;1200 UTC;0;1007,8;1007,9;1007,1;31;23,6;22;25,1;23,4;23,2;21,9;92;88;91;47;10,6;2,5;
2020/01/08;1300 UTC;0;1008,3;1008,3;1007,8;822;25,5;22,6;25,5;23,6;23,2;22;91;83;84;46;5,4;1,7;
2020/01/08;1400 UTC;0;1008,4;1008,7;1008,3;836,8;26,4;22,9;26,5;25,4;23;22,3;85;80;81;70;4,3;1;
2020/01/08;1500 UTC;0;1007,7;1008,4;1007,7;2543,2;29,2;22,9;29,5;26,4;24;22,2;81;66;69;42;5,5;2,8;
